Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations,__index_level_0__
Tienen de CM al hioputa de Mr Wonderful,High,Aggressive,Vulgar and Insulting,Derogatory,hioputa,
no os da como puta rabia que gente asquerosa tenga pareja y vosotros no?,High,Aggressive,Confrontational and Insulting,Resentful,"puta, rabia, asquerosa",
Creo que empezaré una relación seria con la comida y me importa una mierda si me engordo más.,Medium,Flippant,Casual and Crude,Defensive,mierda,
"Espejo Público y Susana Griso, portavoces de fascistas.",High,Accusatory,Defamatory and Offensive,Hostile,fascistas,
"Lo que indigna más son los llantos fariseos, las declaraciones hipócritas, las amenazas furibundas... todo para que todo siga igual...",Medium,Critical,Accusatory,Discontent,"indigna, fariseos, hipócritas, amenazas, furibundas",
"Porque estamos esperando a que subas tú, mamón.",Medium,Sarcastic,Confrontational and Insulting,Annoyed,mamón,
Que no me aconseje nadie coñazo que me lleve el diablo a mi,High,Aggressive,Rude and Offensive,Hostile,"coñazo, diablo",
no tengo los suficientes ovarios para decirte el polvo que te echaba,Medium,Vulgar,Offensive and Explicit,Disrespectful,"ovarios, polvo",
😂😂😂😂😂😂 este ose se la mandaaaa 😂😂😂😂😂😂 nose si se duerme x el olor a chivo o qe😂😂😂,Medium,Mocking,Colloquial and Teasing,Derisive,olor a chivo,
Hacia una segura coalición con el infierno marchamos ¡¡aqui nos hundimos!,Medium,Pessimistic,Dramatic,Despair,"infierno, hundimos",
Camila con celos y yo cagada de la risa porque súper x 🤷‍♀️,Medium,Mocking,Casual and Insulting,Derisive,cagada,
los que no entendéis la ironía y las coñas llevadas al extremo moláis 0 hermanus,Medium,Sarcastic,Disparaging,Mocking,ninguna,
Toca coger la circunvalar pero por los pedacitos de bajada.,Low,Neutral,Informal,Neutral,None,
Pq chucha no puedo dormir con calcetines!!,Medium,Frustrated,Informal and Vulgar,Annoyed,chucha,
"Se picoooo esta mierda, TE AMO IARUUUU",Medium,Excited,Colloquial and Vulgar,Mixed,mierda,
"Algo le habrás dicho, el mongolo no bloquea por bloquear.",High,Insulting,Derogatory,Disparaging,mongolo,
Confirmado merezco el al infierno jajaja,Medium,Self-Deprecating,Casual,Negative,infierno,
Igual te puedo cagar a piñas y después te rasco,High,Aggressive,Violent and Threatening,Hostile,cagar a piñas,
"Y el otro subnormal se pira de casa por que si, a ver que mierdas hace por la calle.",High,Hostile,Insulting and Aggressive,Contemptuous,"subnormal, mierdas",
#APetroLeDigo que es un teterahijueputa.,High,Aggressive,Coarse and Insulting,Hostile,teterahijueputa,
"Wooooowwww premio a mejor hilo sin duda, pinché decálogo de lo más pendejo",High,Sarcastic and Insulting,Derogatory and Dismissive,Disdainful,"pinché, pendejo",
Pinche Guanajuato ya no seas tan conservador.,Medium,Disapproving,Casual and Insulting,Critical,Pinche,
"dioss m da verguenza cuando comentan eso,, se quedaron en 2018",Low,Disapproving,Colloquial,Negative,verguenza,
Bad Bunny qlo como mierda dice que no va a salir nunca la canción con Zion y Lennox 😨,Medium,Frustrated,Colloquial and Aggressive,Disappointed,"qlo, mierda",
un día m tienes comiendo d tu mano y al otro pasando d tu puta cara,Medium,Aggressive,Vulgar and Confrontational,Frustration,puta,
"Amores bellos, si tienen algo lindo con una persona, ¿por qué insisten en cagarse todo metiendo terceros a la relación?",Medium,Confrontational,Casual and Vulgar,Frustrated,cagarse,
Yo de periodista hacia rato lo habría mandado para la mierda hace rato,High,Aggressive,Confrontational and Insulting,Hostile,mierda,
Mi culo se mueve solo,Low,Humorous,Colloquial,Neutral,culo,
"Yo pensaba que Cam4 era un restaurante, ahora entiendo todo, maldita sea.",Medium,Irritated,Frustrated,Displeasure,maldita,
La Corte y nada la misma huevonada,Medium,Frustrated,Informal and Insulting,Disdainful,huevonada,
"pero cerra el orto, que te pensas que los mato yo a los animales, o que los matan por diversión?",High,Aggressive,Insulting and Confrontational,Defensive and Hostile,cerra el orto,
- ¿Estarías con un chico con coño?,High,Provocative,Vulgar and Offensive,Disrespectful,coño,
Me he sobao y me he perdido el ridículo del Valencia,Low,Casual,Informal,Slightly Negative,ridículo,
Aparece cuando quiere la yeguaaa,Medium,Derogatory,Disparaging,Disrespectful,yeguaaa,
Que puta... como se nota que mario ferreiro está sin laburo.... cortenle el tw,High,Derogatory,Offensive and Disrespectful,Disparaging,"puta, sin laburo",
"Good, mute him AMARGADOS DE MIERDA, es un puto genio.",High,Aggressive,Confrontational and Insulting,Hostile,"AMARGADOS DE MIERDA, puto",
soy una puta gorda y solo quiero ir a las cenas/comidas de Navidad para comer y engordar 14kg,High,Self-deprecating,Vulgar and Offensive,Negative,"puta, gorda, engordar",
Definitivamente para ir a mall o andar por Santiago hay que tener un water del año 90 y bien oxidada.,Medium,Sarcastic,Casual and Derogatory,Critical,oxidada,
"los mas valientes, los mejores, los mas preparados vienen a pagarnos las pensiones daga en mano",Medium,Sarcastic,Cynical and Hostile,Unwelcoming,daga,
soy una sensiblona x muchos cojones q tenga,Medium,Self-deprecating,Vulgar,Negative,cojones,
Pollo de mi vida haceme pollitos la puta madre!!!,Medium,Aggressive,Vulgar and Insistent,Demanding,puta,
Hoy día la ley de memoria histórica considera a esta víctima del Frente Popular un golpista.,Medium,Accusatory,Formal,Critical,golpista,
esaes dadme mi sobre de 125 cabrones xddddd,High,Sarcastic,Insulting,Hostile,cabrones,
"Que gente idiota la que sigue saliendo a la calle dios, no se quieren ni un poquito",High,Judgmental,Insulting and Disparaging,Hostile,idiota,
¿Y quién cojones es ese?.,Medium,Aggressive,Vulgar,Disrespectful,cojones,
Por eso lo siguen los maricas,High,Disparaging,Derogatory,Contemptuous,maricas,
Vamos a tirarle el vídeo al gilipollas este 1.,High,Aggressive,Confrontational and Insulting,Hostile,gilipollas,
Si fuera de La Pincoya se estarían pidiendo las penas del infierno y juzgando a todos.,Medium,Critical,Accusatory,Resentful,"penas del infierno, juzgando",
Que mierda no poder soltar una persona a pesar de todo lo que te hizo.,Medium,Frustrated,Informal and Vulgar,Negative,mierda,
man soy r autoexigente q hincha pelotas,Medium,Frustrated,Colloquial and Vulgar,Negative,hincha pelotas,
Estoy hasta los cojones de vivir sintiendo que soy una basura como para que aún encima me lo recuerden constantemente,Medium,Frustrated,Profane and Self-Deprecating,Resentful,"cojones, basura",
"Girón, monumento nacional (al tapón tan hijueputa que se forma desde el Palenque hasta Caneyes) a esta hora.",Medium,Frustrated,Vulgar,Annoyed,hijueputa,
Uribe tiene huevas de plomo y nadie le da la talla.,Medium,Praising with an aggressive undertone,Colloquial and Bold,Admirational with a hint of Defiance,huevas de plomo,
JAJAJAJA te amo histérica de mierda,Medium,Mocking,Insulting,Derogatory Affection,"histérica, mierda",
yo quiero hacer una paja a mano cambiada contigo ( live on ),High,Sexually Explicit,Vulgar and Inappropriate,Sexual Harassment,paja,
- ¡Ya cállate pinche Pedro!,High,Aggressive,Confrontational and Insulting,Hostile,"cállate, pinche",
La avispa es la cabreada que no come para no engordar.,Medium,Sarcastic,Colloquial and Insulting,Derisive,cabreada,
"Así luego entran en patera, dan otro nombre, y tienen otra paguita",High,Dismissive and Prejudiced,Derogatory and Stereotypical,Hostile and Discriminatory,"patera, paguita",
Que no lo sigo y se quien coño son todos.,Medium,Frustrated,Informal and Offensive,Annoyed,coño,
"yo sabía que algun pelotudo/a iba a comentar esto jajaaj, deggggggame en paaaaaaassssssssssss (sartenaso)",Medium,Sarcastic and dismissive,Confrontational and insulting,Hostile,pelotudo sartenaso,
quiero follar y dormirme abrazao,High,Crude,Vulgar and Inappropriate,Offensive,follar,
Joder que partidazo de los Wolves en Anfield.,Low,Excited,Informal,Positive,Joder,
DE RAZON ESTE PAIS VA DE CULO PARA EL ESTANCO CON ESTOS PETARDOS.,High,Derogatory,Offensive,Contemptuous,"de culo, petardos",
dios me siento para la mierda puede alguien de stray kids aparecer porfa😞,Low,Desperate,Informal,Melancholic,mierda,
Ya vi a Vicent Janssen haciéndosela de pedo al Chupete Suazo por quien es el número 1.,Medium,Confrontational,Colloquial and Aggressive,Adversarial,pedo,
Un poco guarrilla y con ganas de llamar la atención de forma desmesurada.,Medium,Derogatory,Disparaging and Judgmental,Disapproving,"guarrilla, desmesurada",
"No entiendo la gracia de este programa, están en bolas recorriendo una selva con un montón de animales venenosos",Low,Dismissive,Casual and Dismissive,Negative,"bolas, venenosos",
yo digo que toca hacer un getsito en el hospe y descabronarloo🍻,Medium,Aggressive,Informal and Insulting,Confrontational,descabronarloo,
El muro de la infamia o El muro de los tetrahijueputas.,High,Derogatory,Insulting and Offensive,Disdainful,"infamia, tetrahijueputas",
Oye que mierdas le pasa a Alba en las galas :(((?!?!?!,Medium,Aggressive,Offensive,Negative,mierdas,
La gente es tan cabrona a veces,Medium,Frustrated,Informal and Insulting,Negative,cabrona,
Te hablé puta de mierda,High,Aggressive,Confrontational and Insulting,Hostile,"puta, mierda",
El facha pastrana no tiene ni amigos. Pobret.,High,Mocking,Derogatory and Insulting,Contemptuous,"facha, pobret",
"Que no es abidal joder, que es Bartomeu, abidal es solo un peon mas.",Medium,Frustrated,Informal and Disrespectful,Critical,joder,
Se me fue el sueño a la mierda,Low,Frustrated,Casual and Vulgar,Negative,mierda,
Que puta hacia el final el mismo le pasaba a los de mineiro jajajaj,Medium,Mocking,Vulgar and Insulting,Derisive,puta,
Malditos de Nintendo y su manía de no rebajar nada juegos que tienen años ya,Medium,Frustrated,Accusatory and Derogatory,Angry,"Malditos, manía",
soy la única a la que no le hace gracia esta mierda??,Medium,Frustrated,Vulgar,Annoyance,mierda,
Porque hay mucho tarado en está red.,Medium,Critical,Insulting,Negative,tarado,
Jajajajaja que gorda lechera hasta cuando con esos videos,High,Mocking,Derogatory and Insulting,Disrespectful,"gorda, lechera",
En verdad es irme a la chucha de chile jiji,Medium,Dismissive,Informal and Vulgar,Negative,chucha,
QUE LINDO SER DE ROWING LA PUTA MADREE🔵⚪️♥️ #qlsr,Medium,Excited,Informal and Vulgar,Pride and Intense Emotion,PUTA MADREE,
"Vieran que feo se siente, el andar sufriendo por un mal de amooooor",Low,Melancholic,Emotional,Sadness,"feo, sufriendo, mal",
feliz porque hoy se come mantecol hasta empalagarse,Low,Joyful,Friendly,Positive,,
"SOS UN HIJO DE PUTA, no tenes sentimientos",High,Aggressive,Insulting,Hostile,"hijo de puta, no tenes sentimientos",
"Esto hace falta en Paraguay, no la cantaleta amariconada de DDHH de muchos políticos.",High,Derisive and Disparaging,Offensive and Derogatory,Contemptuous,"cantaleta, amariconada",
Hacer daño a un ser vivo debería estar penado joder.,Medium,Assertive,Colloquial and Strong,Critical,"daño, joder",
Xq no me contestabas maldita,High,Aggressive,Insulting,Angry,maldita,
me voy a secar el pelo asi me lo plancho auq me de re mil paja,Low,Informal,Colloquial,Neutral,paja,
Te acordas que existo pendejo de mierda 😡,High,Aggressive,Insulting and Confrontational,Hostile,"pendejo, mierda",
"Haber sí así aprenden de historia los cagones, y dejan de alabar a las Farc",High,Condemning,Aggressive and Vulgar,Hostile,cagones,
Toy tan en la mía que si me vienen a joder me les río,Medium,Defensive,Confrontational,Defiant,joder,
"Porque hay alerta roja, subnormal!!!! Este tío es tonto, JODER!",High,Aggressive,Confrontational and Insulting,Hostile,"subnormal, tonto, JODER",
Algo más ridículo que andar contando con quien te hablas?,Medium,Sarcastic,Mocking,Dismissive,ridículo,
Pobre hijueputa mala agradecida quiere todo para ella gratis y los demás departamentos que se jodan,High,Aggressive and Insulting,Confrontational and Offensive,Hostile,"hijueputa, mala, jodan",
No quiero follar contigo porque me da igual lo que me lo digas.,High,Dismissive,Rude and Disrespectful,Contemptuous,"follar, me da igual",
Terminaré borrando todo y me iré bien a la chucha.,Medium,Frustrated,Informal and Vulgar,Discontent,chucha,
Para que echan pirotecnia 🎇🙄 si no hay nada 😒 solo despertaron a Mia 😡 stuuupidossssssss Solo tirar dinero💸,High,Frustrated,Insulting and Disparaging,Angry,stuuupidossssssss,
Pq chucha me despierto a esta horaaaa,Medium,Frustrated,Vulgar,Annoyed,chucha,
"Los mejores, los más valientes y más preparados",Low,Encouraging,Positive and Supportive,Admiring,,
q paja ni tengo ganas d salir mañana,Low,Informal,Casual and Slang,Unenthusiastic,paja,
"Si te dan manzanas y huevos y te piden que hagas un gazpacho, como cojones pretendes hacerlo?",Medium,Frustrated,Vulgar,Annoyed,cojones,
"Como un pico flacido, malo malisimo",Medium,Dismissive,Critical and Insulting,Negative,"flacido, malo malisimo",
Por qué les tienen tanta bronca a los q fueron mantenidos y no los mandaron a laburar?,Medium,Accusatory,Casual and Disparaging,Critical,bronca,
Mis vacaciones de Mayo se fueron a la mierda por el Covid.,Medium,Frustrated,Vulgar,Displeased,mierda,
Que serie de la puta madre es Billions.,Medium,Exclamatory,Casual and Vulgar,Positive,puta,
Che cuenten el secreto para tener motos autos y salir todos los Findes rascándose los huevos 😛,Medium,Sarcastic,Casual and Slightly Vulgar,Jealous,rascándose los huevos,
"Nico a los 3 años se metió una pila y un PAN en la nariz, desde chiquito es pelotudo 🤣",Medium,Humorous,Mocking and Derogatory,Dismissive,pelotudo,
Pues sere un puto desastre pero si te veo mal intento sacarte una sonrisa,Medium,Self-deprecating,Colloquial and Vulgar,Supportive,puto desastre,
COÑO una portada sin Neymar jajajaja jajajaja,Medium,Sarcastic,Casual and Vulgar,Mocking,COÑO,
Nunca sean así de mierdas,Medium,Reproachful,Offensive,Disapproving,mierdas,
Ahhhhh cabron cuál es el beso arcoíris ?,Medium,Confused,Casual and Slightly Aggressive,Inquisitive,cabron,
Dejen jugar el partido flaites de mierda!,High,Aggressive,Confrontational and Offensive,Hostile,"mierda, flaites",
Después de eso casi prendo fuego la campera y la remera de 6to porque la verdad una mierda todo.,Medium,Frustrated,Aggressive,Angry,mierda,
Huevones nefastos utilizados por la extrema izquierda anarquista,High,Derogatory,Insulting and Political,Hostile,"Huevones, nefastos",
"Una noche me duró la serie, joder coño",Medium,Frustrated,Vulgar,Annoyed,"joder, coño",
Joder como esta el chaval 🤦🏻‍♂️,Medium,Frustrated,Informal and Mildly Insulting,Disapproving,Joder,
Y que poronga es Harry Potter.,Medium,Dismissive,Vulgar,Disdainful,poronga,
EN SERIO ESTOS PEDAZOS DE MIERDAS PUEDEN SER LLAMADOS POLICÍAS CIVILES?,High,Derogatory,Insulting and Aggressive,Contemptuous,mierdas,
Van a tener que seguir convenciendo a más charnegos,Medium,Derogatory,Dismissive and Pejorative,Disparaging,charnegos,
"Típico estos weones se limpian las manos, me voy chao",Medium,Frustrated,Informal and Derogatory,Disappointed,weones,
mejor me voy a dormir porque sino me la voy a mandarrr,Low,Frustrated,Casual,Negative,mandarrr,
Jajajajaj la Küyén cagando en el depa DESPUÉS DE QUE LA SAQUÉ A PASEAR PARÁ QUE CAGARA AFUERA!!!,Medium,Frustrated,Vulgar and Casual,Annoyed,"cagando, cagará",
"Gol de Alemania, TyC, la concha de tu madre",High,Aggressive,Confrontational and Insulting,Hostile,concha de tu madre,
Jajajaja q mente de mierda tengo lpm buen día crack,Medium,Self-deprecating,Casual with Profanity,Mixed,"mierda, lpm",
como si nunca vieron la lluvia PELOTUDOS,High,Aggressive,Insulting,Hostile,PELOTUDOS,
"EL VERDADERO RELAJO INICIÓ, CUANDO NITO CORTIZO DECLARO QUE ESTE SR SE QUEDABA EN EEUU, PORQUE EL ERA QUIEN MANDABA.",Medium,Accusatory,Disparaging,Contemptuous,RELAJO,
"Y ESPERAR EL APOGEEEO DE LA ENFERMEDAD, CHUPA 3L PICO FEO DE MIERDA.",High,Aggressive,Vulgar and Insulting,Hostile,"mierda, feo, chupa",
El que madruga anda cagado de sueño!,Low,Humorous,Informal,Playful,cagado,
"Iba a salir y pincho, una paja d todo manejo últimamente",Medium,Frustrated,Informal and Crude,Negative,paja,
Gracias policia x cagarme la siesta🖕🏻,High,Sarcastic,Confrontational,Hostile,cagarme,
Tengo un problema serio si ya desde esta hora estoy hasta los cojones de la gente,Medium,Frustrated,Colloquial and Vulgar,Irritated,cojones,
marujones tio deberia daros verguenza,Medium,Dismissive,Confrontational,Condemnatory,"marujones, verguenza",
Lo puto guapa que sale todo el rato??????,Medium,Sarcastic,Informal and Vulgar,Mildly Appreciative,puto,
"El destino es una verga, y la vida injusta, por eso vivámosla y no la desperdiciemos",Medium,Pessimistic,Casual and Vulgar,Resigned,"verga, injusta, desperdiciemos",
que celular d mierda m pone re del orto,High,Frustrated,Vulgar and Insulting,Angry,"mierda, orto",
me tienen las pelotas re llenas todos,High,Frustrated,Aggressive,Angry,pelotas re llenas,
QUIEN MIERDA ME MANDO A PASARME A ABONO,High,Offensive,Confrontational and Vulgar,Frustrated,mierda,
Tóxico de mierda lo único q quiere es escabiar,High,Contemptuous,Offensive and Insulting,Disdainful,"Tóxico, mierda",
Era el puto amo JAJAJAJAJAJJAJAA,Medium,Boastful,Informal and Vulgar,Arrogant,puto,
Lindo 5to vamos a tener con el colegio en construccion todo el puto año 🙄,Medium,Sarcastic,Dismissive and Critical,Frustrated,puto,
Pruebas y más pruebas y a este hijueputa nada que lo investigan,High,Frustrated,Aggressive and Insulting,Angry,hijueputa,
Llenos de coca y bandas criminales.,High,Derogatory,Offensive and Stereotyping,Negative,"coca, bandas criminales",
Odio andar con un secreteo... nojoda.,Medium,Frustrated,Informal and Rude,Annoyed,"Odio, nojoda",
"De aquí a que se dé de nuevo la mierda, que alguien me pegue un paipe por weta",Medium,Frustrated,Vulgar and Confrontational,Angry,"mierda, pegue, weta",
"Joder que bueno, no voy a picar yo sólo 😉",Low,Playful,Casual,Positive,Joder,
No sirven para un culo,High,Dismissive,Offensive and Insulting,Derogatory,culo,
Gran puta... el calor de mierda este... 😣😣😣,Medium,Frustrated,Vulgar and Insulting,Annoyed,"puta, mierda",
"El espíritu de Plasencia siempre será una epopeya de liberación de tensión...Que putos nervios de tanda, pollo.",Medium,Frustrated,Informal and Vulgar,Agitated,putos,
Lo peor es que hay tantos idiotas que le creen,Medium,Frustrated,Disparaging,Contemptuous,idiotas,
Hay qu serpaleto para no saber que ese psicopata firmo 8000 sentencias de muerte.,High,Accusatory,Insulting and Judgmental,Hostile,"serpaleto, psicopata",
No tengo ni puta idea :@,Medium,Frustrated,Vulgar,Annoyed,puta,
esta hasta el coño de la vida JAJAJAJAJAJAJAJAJJAJAJAJAJA yo,Medium,Frustrated,Vulgar and Informal,Overwhelmed,coño,
Siempre así de pelotudos 🤪,Medium,Sarcastic,Disparaging,Contemptuous,pelotudos,
Shh callate hay q tener fe,Low,Dismissive,Informal,Slightly Impatient,callate,
Estai viejo pa comentar esas hueas,Medium,Disparaging,Colloquial and Disrespectful,Belittling,hueas,
"Y en mayo más, en junio más, en julio más....... Pedazo de inútiles!!",High,Aggressive,Confrontational and Insulting,Hostile,inútiles,
"Layun tirando carro, el chiste se cuenta sólo jajajajaja pinche petardo 🤣",Medium,Mocking,Insulting and Sarcastic,Disparaging,"pinche, petardo",
No vuelvo a hacer ni el más mínimo comentario respecto a ni mierda.,Medium,Frustrated,Vulgar and Defensive,Annoyed,mierda,
Primera presentación de Tinelli que es una mierda 👎🏼,Medium,Critical,Profane,Negative,mierda,
Gran puta que reflejos tenía Bush,High,Mocking,Insulting,Disrespectful,puta,
Que ganas de tener esas tetas,Medium,Objectifying,Crude and Inappropriate,Lustful,tetas,
"Las cortes corruptas y ahora también con abusos sexuales, de razón la justicia de este país esta vuelta MIERDA.",High,Outraged,Aggressive and Offensive,Angry,"corruptas, abusos sexuales, MIERDA",
pero callate — Pero que me dejes 👊,Medium,Aggressive,Confrontational,Frustrated,callate,
Odio más a los pinches grillos cuando estoy estresada 😭,Medium,Frustrated,Casual and Profane,Annoyed,"odio, pinches",
"¿Será mongolo de nacimiento, o solamente estará interpretando un papel?",High,Disparaging,Offensive and Insulting,Contemptuous,mongolo,
"¡Vallekanos yonkis y gitanos! Orgullosos de nuestro barrio, no lo podréis entender 💪",Medium,Proud yet Confrontational,Informal and Derogatory,Defensive,"yonkis, gitanos",
Sisi viva la patria y coso pero NO SUBAN FOTOS DE SUS LOCROS,Medium,Dismissive,Formal and Insensitive,Annoyance,NO,
Así qué como usted hay tanto imbécil qué por ser socialista y de izquierda cree qué no somos independientes.,High,Aggressive,Confrontational and Insulting,Hostile,imbécil,
No sea imbécil la idea es salir con precaución para reactivar la economía que lleva meses por culpa del COVID-19.,Medium,Reprimanding,Rude and Direct,Frustrated,imbécil,
Quien poronga es el Pirizz,Medium,Aggressive,Informal and Vulgar,Disrespectful,poronga,
3 horas seguidas haciendo cosas para la puta partida Creo que me podría acostumbrar a esto,Medium,Frustrated,Informal and Vulgar,Annoyance,puta,
Ayer escrachamos al pelotudo del Mono Ramos y hoy al infeliz lo echaron.,High,Aggressive,Insulting and Vulgar,Hostile,"escrachamos, pelotudo, infeliz",
"Aveces Nose si bloquear a Abi de tw o hablarle y mandarla a cagar, que mina más pelotuda es",High,Aggressive,Confrontational and Insulting,Hostile,"mandarla a cagar, pelotuda",
Si entendieran que no por salir embarazada se tienen que casar se ahorrarían muchos pedos después,Medium,Judgmental,Informal and Critical,Disparaging,pedos,
Entrar al metro es como bajar al infierno,Low,Critical,Metaphorical,Negative,infierno,
"A firmar xq Dalito anda pidiendo asilo, se nos quiere quedar en USA, mejor q regrese y de la cara.",Medium,Dismissive,Confrontational,Critical,mejor q regrese y de la cara,
"Mi perra vale pico, juro que me había levantado a jugar y tomó su peluche jajaajja Küyén de mrda",Medium,Humorous with derogatory undertones,Colloquial and Insulting,Disparaging,"pico, de mrda",
Muy fan de la forma de saludar de Pablo a la gente que no conoce de una mierda.,Medium,Sarcastic,Casual and Slightly Insulting,Disdainful,mierda,
Ya puse la de Don't Want A Miss A Thing de Aeroesmith por si se acaba el mundo ahorita ridículos.,Medium,Sarcastic,Mocking,Disdainful,ridículos,
Los perroflautas que libráis hoy no decís nada ehh?? #DiaDeLaConstitucionEspanola,Medium,Disparaging,Derogatory and Provocative,Contemptuous,perroflautas,
Las Cortes con rabo de paja hablan de moral 🤣🤣🤣,Medium,Mocking,Derisive,Disparaging,rabo de paja,
Tengo un quilombo en la cabeza y el corazón hecho verga,Medium,Frustrated,Vulgar and Colloquial,Distressed,"quilombo, verga",
Llevo más de un mes con los pies hinchados que mierda._.,Low,Frustrated,Informal,Negative,mierda,
Menos mal que no te reiste cuando perdí la quinta porque podía llegar a tirarte por el balcón,High,Threatening,Violent,Hostile,tirarte,
Que utilicen los recursos de un partido para ganar una Curul y luego coger la de villa Diego con burla!,Medium,Critical,Disapproving and Sarcastic,Negative,"coger, burla",
"Tener pareja es la verga; pero tener amigos, verdaderos amigos eso no se compara con nada.",Medium,Comparative,Informal and Vulgar,"Negative towards relationships, Positive towards friendships",verga,
Ni para un hijueputa par de medias.,High,Aggressive,Offensive and Insulting,Hostile,hijueputa,
Que hdp cuando nos pinta bajón inventamos lo que sea para comer,Medium,Casual,Informal and Slang,Neutral to Negative,hdp,
a ver cuantos poneis tusa pesaos de los cojones,High,Aggressive,Confrontational and Insulting,Hostile,"pesaos, cojones",
Ya me dio esa sed de la que haces encabronar a los novios de las mujeres.,Medium,Provocative,Inflammatory,Aggressive,encabronar,
Habla como chileno antes de irte culiao weon la wea,High,Aggressive,Rude and Insulting,Hostile,"culiao, weon, wea",
"Le apunta con una escopeta  —¿¡A caso pretendes llevarme la contraria, maldito!?",High,Aggressive,Threatening and Abusive,Hostile,maldito,
"Por qué puta no llueve ahora, YA",Medium,Frustrated,Aggressive,Impatient,puta,
"Mi guatita me está matando, prometo dejar de comer mierda.",Medium,Frustrated,Colloquial and Vulgar,Regretful,mierda,
Que mierda es esa ubicación millenial ahora estoy re enojado loko,Medium,Aggressive,Informal and Vulgar,Frustrated,"mierda, enojado, loko",
"Jajajajajajajajaja jueputa nombre para ñero, le hubieran dejado Covid",High,Mocking and Insulting,Derogatory and Offensive,Hostile,"jueputa, ñero, Covid",
"Me la suda el jopara hoy, voy a comer un sanwi y ya!",Medium,Indifferent,Casual and Vulgar,Apathetic,suda,
"Copito está infumable, parece q sabe q es su cumpleaños",Medium,Annoyed,Informal and Negative,Displeasure,infumable,
Muy sorete el.... ni me habla ✋,Medium,Disdainful,Informal and Rude,Frustrated,sorete,
Este Santiago buchón de mierda😡,High,Aggressive,Insulting,Angry,"buchón, mierda",
Se ven bien pinches finas sacando $8.50 pesitos de su bolsa michael kors para pagar el pasaje del transbus.,Medium,Sarcastic,Colloquial and Derogatory,Disparaging,pinches,
Si se sienten medio boludos... acuerdense que una vez se hizo una caravana en honor a Paul Walker 😘,Medium,Sarcastic,Casual and Derogatory,Mocking,boludos,
Iba a estar yo viendo esta mierda teniendo mi mente tranquila.,Medium,Frustrated,Colloquial and Vulgar,Irritated,mierda,
COMO DIJO ROSA PARKS UNA BUENA MILI TE HACIA FALTA A TI MARICÓN,High,Aggressive,Disrespectful and Homophobic,Hostile,MARICÓN,
Ahí si se irían de culo,Low,Casual,Informal,Negative,culo,
Uno para pasar los cólicoAY CHAO DE AQUÍ BOBA HIJUEPUTA.,High,Aggressive,Insulting and Aggressive,Hostile,"BOBA, HIJUEPUTA",
"si subo una historia es para q me la respondas boludo, no se cómo explicarte",Medium,Frustrated,Informal and Insulting,Annoyed,boludo,
Esa pistola con nobel me mandó a la xuxa,Medium,Dismissive,Insulting and Confrontational,Hostile,xuxa,
Pero callate un poco la concha de tu hermana,High,Aggressive,Confrontational and Vulgar,Hostile,"callate, concha, hermana",
Me falta follar joder para hacer pleno :(,High,Frustrated,Vulgar and Offensive,Discontent,follar joder,
No existe alguien que me mueva el piso como vos,Low,Affectionate,Romantic,Positive,None,
Que ninguna me mande nudes es otro pedo.,Medium,Displeased,Crude and Vulgar,Frustration,pedo,
Así que cámbiame la cara de ojete.,High,Aggressive,Confrontational and Insulting,Disrespectful,cara de ojete,
PUTO GORDO PENDEJO EL CAMPEÓN ERA WOS,High,Aggressive,Confrontational and Insulting,Angry,PUTO GORDO PENDEJO,
"No pienses eso coño jajajajaja que la cambien a la siguiente ciudad si quieren, no en Málaga 🤣🤣🤣🤣",Medium,Dismissive,Casual and Vulgar,Indifferent,coño,
"Por un 2019 q me chupe todo un huevo, y que todo me duela menos🙏🏻",Medium,Dismissive,Casual and Vulgar,Resentful,"chupe, huevo, duela",
Y ganando 4 a 1... con todo esto .. intento sacar con su cabeza la pelota... que huevos carajo..,Medium,Surprised/Impressed,Colloquial and Informal,Admiring,carajo,
JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA QUE PUTA VERGÜENZA EL PENALTI QUE LE HAN REGALADO AL MADRID DIOS MIO!!!,Medium,Mocking,Derogatory,Frustration,PUTA VERGÜENZA,
"Eso al régimen se lo pasa por el forro, tan habladera de paja y no pasa nada.",Medium,Discontented,Colloquial and Disrespectful,Frustrated,"forro, habladera de paja",
"este tarado dijo que iba a dormir un ratito, van 3 horas",Medium,Disparaging,Insulting,Critical,tarado,
Con dos huevos... q pasada macho,Low,Neutral,Casual,Positive,"huevos, macho",
"A mamarla moros españolitos, los verdaderos españoles están en el norte",High,Derogatory,Offensive and Discriminatory,Hostile,"mamarla, moros",
Miren este video y después vean quienes son los verdaderos racistas,Medium,Accusatory,Provocative,Conflicted,racistas,
"Que se yo, cosas insignificantes que como siempre como buen boludo me pongo mal.",Medium,Self-Deprecating,Casual and Insulting,Negative,boludo,
La verdad le duele a ese mequetrefe,Medium,Disparaging,Derogatory,Contemptuous,mequetrefe,
noo gato como extraño romper colas en el ludo😔😔,Low,Nostalgic,Sad and Playful,Regretful,romper colas,
no me puedo dormir la gran concha d su madre,High,Angry,Vulgar and Offensive,Frustrated,concha d su madre,
Tengo que dejar de darle vueltas a la facu coño,Medium,Frustrated,Colloquial and Vulgar,Exasperated,coño,
